gene_a,gene_b,weight
HEXIM1,JUNB,0.11735479533672333
KDM6B,ITPRIP,0.11713951081037521
KRT7,KRT16,0.11692506074905396
CRISPLD2,FGF7,0.1169145479798317
KRT7,KRT5,0.11679579317569733
CD74,HLA-DPB1,0.11575709283351898
SOX9,SFRP1,0.11568252742290497
PARP4,SLC39A8,0.11565203964710236
ERBIN,SNX14,0.11558260768651962
CDC42SE2,MALT1,0.11548852175474167
GABRP,AZGP1,0.11548146605491638
CREBRF,SLC38A2,0.1154288798570633
SFN,WFDC2,0.11532503366470337
C1R,SERPINF1,0.11531955748796463
SFN,FBXO2,0.11457691341638565
IFI6,B2M,0.11399155855178833
PARP14,VOPP1,0.11376002430915833
LAMA4,DPYSL3,0.11359584331512451
CCDC80,BGN,0.11346939206123352
PIK3CA,LEMD3,0.11343485862016678
CSRNP1,SOCS3,0.11343011260032654
ADAM17,MTMR3,0.11342024058103561
ECE1,HIP1,0.11334466189146042
HLA-DPB1,SRGN,0.11332763731479645
SLPI,PDZK1IP1,0.11304650455713272
CSGALNACT2,PIKFYVE,0.11291661858558655
PARP14,VPS13C,0.11288765072822571
ATAD2B,FRYL,0.11237585544586182
PLPP1,RGS3,0.11232113838195801
TAGLN,CALD1,0.11228977888822556
LAMA4,TCF4,0.11219584941864014
MAP3K1,LRBA,0.1119796633720398
KRT7,CD24,0.1117459163069725
POLK,POU2F1,0.11126309633255005
TACSTD2,PDZK1IP1,0.11055666208267212
MT-ND3,MT-ND4,0.11005758494138718
KRT7,SDC4,0.10969296097755432
KDM6A,PTBP2,0.10967518389225006
CEP68,ZBED5,0.10961183160543442
CREBRF,HECA,0.10950680077075958
S100A1,SLPI,0.10933294892311096
GABRP,S100P,0.10929808765649796
HIVEP1,SLC5A3,0.10879412293434143
TPM1,FBXO32,0.10835058987140656
DSP,EFNA1,0.10746030509471893
BRD1,COG3,0.10689440369606018
KRT8,MGST1,0.10680121183395386
ELF3,MGST1,0.10630755871534348
CD24,CLDN3,0.1061612144112587
C1R,CRISPLD2,0.1058124303817749
NFKB1,PRDM2,0.10579069703817368
