gene,weighted_degree,degree
CABIN1,0.42252109199762344,3
SP100,0.42176923900842667,3
ZNF44,0.4191211014986038,3
SH3BGRL3,0.4175218343734741,3
ABCD4,0.4163223132491112,3
FAM160B2,0.4140254706144333,2
MIR4435-2HG,0.41373515129089355,1
CYTOR,0.41373515129089355,1
KANSL3,0.4118843376636505,2
SERPING1,0.40902097523212433,2
ACP5,0.4081502854824066,2
ADCY7,0.4070844277739525,3
C19ORF66,0.40326887369155884,3
HIPK1,0.4026168882846832,3
CKS1B,0.4001210480928421,3
NPW,0.3999126926064491,3
AP1G1,0.39948713779449463,2
SCAI,0.3993365243077278,3
METTL8,0.39850909262895584,3
NMT2,0.39826343953609467,3
ELF1,0.3932758569717407,3
PCNA,0.3915291130542755,3
SLC11A1,0.39029084891080856,2
CTSL,0.3888038247823715,3
PDLIM4,0.3849756494164467,3
RCAN1,0.3844347521662712,3
KDM6B,0.3841288387775421,2
MYCBP2,0.38395122438669205,3
OTULINL,0.38369815051555634,2
RBM5,0.38198982179164886,3
RASSF4,0.3798165023326874,2
TRIM8,0.3719983994960785,2
HSPA1A,0.37173373997211456,2
KLHL36,0.36599087715148926,3
FOXN3,0.36499500274658203,3
PIP4K2A,0.3643074184656143,3
EML2,0.36298082023859024,3
TMEM173,0.3618297576904297,3
TBCD,0.36058585345745087,2
CD83,0.359402596950531,2
NPHP3,0.3572525829076767,2
SP140L,0.3571830540895462,2
SMAD7,0.354095421731472,2
CDC42SE2,0.3532991409301758,2
GPNMB,0.3524690940976143,3
IL32,0.35216911137104034,3
CLDN3,0.34995996206998825,3
MSL2,0.34971170127391815,2
UGCG,0.3496287316083908,3
UBE4A,0.3494363948702812,3
WSB1,0.34752191603183746,3
ATP9B,0.3464971035718918,2
TNFRSF14,0.34622500091791153,3
ADAM12,0.346149779856205,3
POLK,0.3454282656311989,2
HSPH1,0.34489619731903076,2
GIT2,0.34302978217601776,3
PHTF2,0.34193621575832367,2
MAPRE2,0.3410455361008644,3
PIKFYVE,0.33994054794311523,2
TATDN2,0.3390360623598099,2
SYMPK,0.33477839082479477,3
HYAL2,0.33382265269756317,2
FGFR1,0.3322046622633934,2
ITPRIP,0.33075496554374695,3
PKIG,0.3288637548685074,3
SGK1,0.328341469168663,2
SERPINB1,0.3266554996371269,3
SNAI2,0.32519736140966415,2
MFGE8,0.3230012506246567,2
NUP210,0.3219936266541481,3
RGS2,0.3217184692621231,2
LINC00909,0.32117941230535507,2
