gene_a,gene_b,weight
TOP2A,TPX2,0.24557769298553467
C1R,C1S,0.2454950362443924
CCNB1,RRM2,0.24548891186714172
CDC20,UBE2C,0.24493227899074554
BGN,DPYSL3,0.24490439891815186
TOP2A,NDC80,0.2444438934326172
CYR61,TPM1,0.24405109882354736
MAL2,KRT19,0.24403057992458344
NCOA1,TRIM8,0.2440224587917328
NUF2,CCNB1,0.2436993420124054
NUF2,NUSAP1,0.24366046488285065
EFHD2,PPP1R18,0.2434157282114029
ZC3H4,TCTN3,0.2433880865573883
MKI67,CCNA2,0.24331757426261902
KRT17,KRT16,0.24302659928798676
HSP90AA1,HSPH1,0.24261461198329926
S100A2,PDZK1IP1,0.24212504923343658
KRT7,CLDN4,0.24187791347503662
DPYSL3,IGFBP4,0.24166232347488403
GK,OTULINL,0.24149374663829803
CNN3,CALD1,0.24112936854362488
CNN3,UACA,0.2407498061656952
HMMR,TPX2,0.24061447381973267
CALCOCO2,SACM1L,0.24060530960559845
IER3,MAFB,0.24035564064979553
LAMC1,CAVIN3,0.2403017282485962
PERP,KRT18,0.2397403120994568
JAK1,RNF213,0.23947547376155853
CALD1,NNMT,0.23912081122398376
AURKA,NUSAP1,0.23905673623085022
HIVEP2,SMAD7,0.23861441016197205
ELF3,PERP,0.23825019598007202
TPM2,TPM1,0.23816591501235962
CD24,KRT18,0.23801420629024506
HSPG2,SLC9A3R2,0.23777304589748383
POLK,UBR1,0.23719748854637146
FBN1,CFH,0.23675872385501862
CHFR,VPS13C,0.23642264306545258
DPYSL3,IGFBP7,0.2360539734363556
CDKN3,CDC20,0.2358938753604889
CYB5D2,TCTN3,0.23551437258720398
PRSS23,CFH,0.23549610376358032
CD59,TSC22D1,0.2346031665802002
KRT5,SFN,0.2345992475748062
MAP3K4,RUFY2,0.23439982533454895
DUSP1,FOS,0.23439809679985046
NNMT,CTGF,0.23416176438331604
FXYD3,MAL2,0.2341456264257431
CTGF,FBLN2,0.23399117588996887
ITGA2,NCOA7,0.23335221409797668
PCOLCE,RARRES2,0.23306038975715637
MT-CO2,MT-ND3,0.2328646034002304
PSAP,MFSD1,0.23284749686717987
ARHGAP30,DENND2D,0.2327904850244522
CENPF,NUSAP1,0.23245058953762054
C1R,TAGLN,0.2321973592042923
AP1G1,RC3H1,0.2321772575378418
NNMT,TGFB1I1,0.2320311963558197
KRT8,CRYAB,0.2318350225687027
CCNB2,CDC20,0.2313700169324875
KRT14,DMKN,0.23136459290981293
KRT7,DSP,0.23127113282680511
CHFR,CREBRF,0.2309020310640335
EFEMP2,FGFR1,0.23044869303703308
ZC3H4,LENG8,0.22975178062915802
CNN3,SELENOM,0.22950789332389832
IGFBP7,MAP1B,0.22795000672340393
CYR61,SELENOM,0.22769618034362793
ADAMTS4,FBN1,0.22741875052452087
ARHGEF12,NPDC1,0.22736233472824097
CKS2,PTTG1,0.22684234380722046
CCNA2,BIRC5,0.22650380432605743
SOX9,CLDN4,0.22628825902938843
CTSS,LGALS9,0.22557121515274048
MKI67,CENPF,0.2248966246843338
NNMT,MYL9,0.22449630498886108
IL6ST,SPRY1,0.22445781528949738
TK1,ZWINT,0.2240534871816635
LYST,RPS6KA3,0.22338299453258514
C1R,GAS1,0.2218438982963562
ATAD2,UBE2T,0.2216562181711197
KRT17,SFN,0.22161155939102173
PRSS23,TGFB1I1,0.22055047750473022
HMMR,CCNB1,0.22045713663101196
PLEKHM2,PTPRE,0.2199954390525818
CSGALNACT2,PHYKPL,0.21954143047332764
C1R,CCDC80,0.2191091775894165
WFDC2,KRT7,0.21895621716976166
KRT17,S100A2,0.21862900257110596
MMP11,THBS2,0.21847327053546906
ECE1,MAST4,0.21845725178718567
KRT14,FXYD3,0.21719607710838318
NCOA1,DHX38,0.2169414907693863
KRT18,CALML5,0.2166525423526764
PHTF2,SLC7A6,0.2156020998954773
CWF19L1,ZDHHC18,0.215534046292305
ANKS3,LRIG2,0.21552592515945435
LENG8,C2ORF49,0.2154301106929779
ABL2,EMP1,0.21508631110191345
NUF2,CCNA2,0.21466611325740814
RASGRP1,SEMA4D,0.214332714676857
MKI67,UBE2C,0.2141229510307312
CENPF,UBE2T,0.21408580243587494
RRM2,TPX2,0.21393774449825287
CD59,ADIRF,0.21382421255111694
TK1,BIRC5,0.21337997913360596
C15ORF40,KDM4B,0.21327099204063416
NUF2,CENPF,0.21322299540042877
CALD1,DPYSL3,0.21266652643680573
COL16A1,ISLR,0.212455153465271
HCST,ADGRE5,0.21186181902885437
ATP9B,C22ORF46,0.21142235398292542
MED17,OTULIN,0.2114170342683792
CSGALNACT2,NUP214,0.2110036015510559
FRYL,TBCD,0.2109808325767517
TGFB1I1,MAP1B,0.21092693507671356
NUF2,NDC80,0.2103121131658554
IGFBP4,CFH,0.21008530259132385
PPP1R12C,ATAD2B,0.20954667031764984
KRT7,EPCAM,0.20914176106452942
SLPI,CALML5,0.20859862864017487
NR1H3,RASSF4,0.2085021734237671
NNMT,PRSS23,0.20817828178405762
NUF2,BIRC5,0.20806416869163513
DUSP1,SGK1,0.2072201520204544
HSPG2,CAVIN3,0.20640996098518372
KRT17,WFDC2,0.20617742836475372
PMP22,SERPING1,0.2059745192527771
SDC4,TOB1,0.20589031279087067
PALLD,SNAI2,0.20588678121566772
LENG8,TCTN3,0.205756276845932
KRT18,EPCAM,0.20543663203716278
MRPL10,TATDN2,0.20526593923568726
CRIP2,JAG1,0.20515650510787964
NUF2,RRM2,0.20507366955280304
AKAP10,WDR44,0.20447038114070892
ELF3,KRT18,0.2043120414018631
SMG6,CWF19L1,0.20427975058555603
CYR61,C1R,0.20407913625240326
PDZK1IP1,CALML5,0.20402678847312927
PERP,CLDN4,0.20383226871490479
HMGB2,STMN1,0.20371253788471222
AURKA,CCNB2,0.20321494340896606
SERPING1,IFITM3,0.20304645597934723
UBE2C,PCLAF,0.20279888808727264
EFHD2,ARHGDIB,0.20263536274433136
EXOSC6,CYB5D2,0.20238761603832245
C2ORF49,ZC3H7A,0.20220325887203217
RASGEF1B,CD83,0.20213231444358826
COTL1,SH3BGRL3,0.2020249366760254
PPIC,IGFBP5,0.20202408730983734
CORO1A,GPSM3,0.20195770263671875
CABIN1,DLGAP1-AS1,0.20184879004955292
DPYSL3,CTGF,0.2017298936843872
CENPF,TPX2,0.20171667635440826
EPCAM,CKB,0.20139174163341522
CNOT6L,SP140L,0.201131671667099
RRM2,UBE2C,0.2011064738035202
TOP2A,CDCA8,0.20108816027641296
CDK1,CCNB2,0.20094886422157288
ABCD4,CLASP1,0.2008771002292633
HSPG2,LAMC1,0.20085179805755615
HSPG2,TGFB1I1,0.20083260536193848
CCDC14,PAXBP1,0.20077210664749146
HSPG2,MAP1B,0.20051240921020508
CDCA8,BIRC5,0.20051123201847076
CDC42SE2,PPP2R5C,0.1999903917312622
LINC00909,ORC2,0.19981689751148224
KRT7,SOX9,0.1995099037885666
CALD1,IGFBP7,0.1994951367378235
ID4,MFGE8,0.1993776261806488
C1R,AEBP1,0.19928817451000214
UACA,CD59,0.19906894862651825
KRT14,SFN,0.19876766204833984
CFH,COL5A2,0.19867880642414093
CYR61,MYL9,0.19853068888187408
ADGRE5,PTGER4,0.19850599765777588
NUSAP1,PTTG1,0.1981600522994995
SPARC,COL5A2,0.1979462206363678
IL6ST,TGFBR2,0.19715961813926697
CALD1,BGN,0.1968410313129425
ADGRE5,AKNA,0.1967506855726242
MAP1B,CAVIN3,0.1966467946767807
ATAD2B,SENP7,0.19597531855106354
ELF3,EPCAM,0.19596846401691437
CTGF,LAMC1,0.1959364116191864
CSTB,TXN,0.1958835870027542
CTSB,SOD2,0.1957699954509735
NNMT,CCDC80,0.1951739341020584
HMMR,CCNA2,0.19491007924079895
HLA-DPB1,SRGN,0.19451673328876495
CALD1,CAVIN3,0.1938939243555069
MT-ND4,MT-ND2,0.1934693455696106
IGFBP4,LIMA1,0.19316543638706207
CUL9,POU5F2,0.19306333363056183
CCDC80,GAS1,0.19298139214515686
BGN,SERPINH1,0.19298002123832703
C1R,EFEMP2,0.19291527569293976
CLDN4,S100A14,0.19260551035404205
CALD1,SELENOM,0.1923501342535019
CCNA2,UBE2C,0.19232162833213806
PALLD,TNFRSF12A,0.19192466139793396
BIRC5,TPX2,0.19143204391002655
ADIRF,CRIP2,0.19119614362716675
TOP2A,TK1,0.19111637771129608
MYL9,MYLK,0.1907380223274231
TIMP2,RIN2,0.19060325622558594
MAST4,CEMIP2,0.19028310477733612
BIRC5,UBE2C,0.1900167465209961
CCNA2,CENPF,0.18994876742362976
CLASP1,PIKFYVE,0.18974894285202026
HMMR,CENPE,0.18958863615989685
CALCOCO2,CDKN1B,0.18951748311519623
AURKA,CDCA8,0.18927119672298431
SPARC,HSPG2,0.18926243484020233
CRIP2,CRIM1,0.18883171677589417
GK,ADCY7,0.18866033852100372
C15ORF40,DMTF1,0.18839062750339508
ATAD2B,ZC3H7A,0.18818603456020355
GTSE1,HMMR,0.18811361491680145
C1R,TGFB1I1,0.18804676830768585
CD24,KRT7,0.18767395615577698
CCNB2,RRM2,0.18707387149333954
SFN,PDZK1IP1,0.18702761828899384
AURKA,MKI67,0.18690267205238342
GTSE1,CDCA8,0.18685506284236908
MKI67,CCNB1,0.18626555800437927
MYL9,CTGF,0.18614834547042847
AC008105.3,ACAP1,0.18605098128318787
CYR61,BGN,0.18601617217063904
AC058791.1,LINC00513,0.1853061020374298
CDK1,UBE2C,0.1852044016122818
LAMA4,MTUS1,0.18475615978240967
COL1A2,CTSK,0.18473447859287262
ARHGEF12,HYAL2,0.1847183108329773
HCST,STK17B,0.18467769026756287
IGFBP7,LAMC1,0.18454819917678833
PRSS23,IGFBP4,0.18449319899082184
WFDC2,S100A14,0.18376624584197998
MKI67,NUSAP1,0.1835208684206009
ZBTB1,DENND4A,0.18349413573741913
ELF3,MAL2,0.1834779530763626
UACA,TSC22D1,0.1832708716392517
RNF213,CNOT6L,0.18319003283977509
PERP,SOX4,0.1831839680671692
BGN,TPM1,0.1831640601158142
MAP1B,CRIM1,0.1829063445329666
KRT5,PDZK1IP1,0.18260014057159424
AC008105.3,LINC00513,0.1825701743364334
C19ORF66,HLA-A,0.1824491173028946
SPARC,AEBP1,0.18243354558944702
CRIP2,MTUS1,0.1823154240846634
UBE2T,CEP78,0.18209737539291382
HMMR,CENPF,0.18203940987586975
MAL2,EPCAM,0.18202783167362213
FBLN1,LOXL1,0.18200597167015076
UBE2T,NPW,0.18197639286518097
RAI14,EMP1,0.18190228939056396
FXYD3,DMKN,0.1815939098596573
CORO1A,BIN2,0.18158188462257385
ATAD2,TPX2,0.18114997446537018
KRT17,DMKN,0.18106943368911743
DSP,KRT18,0.1809842884540558
MMP14,GSN,0.18073850870132446
FBLN1,ISLR,0.1804683357477188
SPARC,DPYSL3,0.18040060997009277
LNPEP,UTRN,0.1801265925168991
TK1,CDCA8,0.18009869754314423
DSP,S100A14,0.17988993227481842
PCOLCE,COL1A1,0.17977231740951538
LPXN,ATP2B1-AS1,0.17968665063381195
PRSS23,FBN1,0.1794569492340088
HIPK1,RASA2,0.1793270856142044
HLA-DRB1,HLA-DPB1,0.17912545800209045
MFSD1,GLUL,0.17912259697914124
PMP22,RIN2,0.17911916971206665
CD37,GPSM3,0.17907141149044037
KRT18,SLPI,0.1789010763168335
CYB5D2,C2ORF49,0.1788785308599472
ARHGAP30,BIN2,0.17887087166309357
WFDC2,PDZK1IP1,0.17845922708511353
NUF2,CDC20,0.1782444566488266
KRT8,WFDC2,0.17822425067424774
FXYD3,DSP,0.17817705869674683
NNMT,TAGLN,0.17780373990535736
CBLB,FYN,0.17732371389865875
MDK,MGP,0.17707772552967072
FXYD3,SFN,0.17698676884174347
MAL2,CLDN4,0.1769683063030243
DPYSL3,HSPG2,0.17662584781646729
EFHD2,SAMHD1,0.17630843818187714
MSL2,RANBP10,0.1750466674566269
SACM1L,ZBTB25,0.17504416406154633
AURKA,HMMR,0.17479588091373444
SLC5A3,MSL2,0.17466503381729126
KRT16,PDZK1IP1,0.17464883625507355
CDK1,CDCA8,0.1746443510055542
GALM,PGPEP1,0.17450718581676483
IGFBP4,LHFPL6,0.1743350327014923
LENG8,ZC3H7A,0.17397649586200714
CYR61,DPYSL3,0.17364372313022614
GABPB1-AS1,UHRF2,0.1736382395029068
MYL9,TGFB1I1,0.1734323650598526
CALD1,C1R,0.17341110110282898
CDCA8,UBE2S,0.17301122844219208
ORC2,SMCR5,0.17281979322433472
ERCC6,ZNF282,0.17270472645759583
EPCAM,MIA,0.1725977063179016
HMGB2,PCLAF,0.17242902517318726
WFDC2,CRYAB,0.17241835594177246
C1R,DPYSL3,0.17238840460777283
CDK11A,IPO8,0.17235423624515533
MAL2,SLPI,0.17224669456481934
SFN,S100A2,0.17218342423439026
CD59,CRIP2,0.17211849987506866
GTSE1,RRM2,0.17202167212963104
USP38,ZBTB17,0.1720070093870163
KRT14,KRT8,0.17195948958396912
S100A16,ID1,0.17152473330497742
WFDC2,DMKN,0.17145657539367676
SLC16A1-AS1,DMTF1,0.1713728904724121
RASSF4,CD14,0.1713143289089203
PRSS23,SULF2,0.1710844486951828
KRT18,KRT19,0.1708565205335617
LGALS9,SAMHD1,0.1707136332988739
CENPF,UBE2C,0.17059779167175293
RRM2,BIRC5,0.17059040069580078
ZBTB25,IKBKB,0.17050422728061676
IFI35,RGS2,0.1703016608953476
C1R,TPM1,0.1702127903699875
SFN,TACSTD2,0.17006249725818634
PRSS23,MAP1B,0.17002390325069427
GTSE1,TPX2,0.16983027756214142
CTSB,PLAUR,0.1698140799999237
S100A2,KRT16,0.1697436422109604
ADD1,FOSL2,0.16954602301120758
NUF2,ASPM,0.16941586136817932
NOP14,NSUN6,0.1692351996898651
MAL2,AARD,0.16912372410297394
ZC3H4,ATAD2B,0.16907712817192078
C21ORF91,RNF4,0.16866286098957062
DPYSL3,EFEMP2,0.16854092478752136
PLEKHM2,AHR,0.16839587688446045
ANKRA2,CALCOCO1,0.1680935174226761
CENPE,TPX2,0.1680835485458374
DMTF1,CLK4,0.16799604892730713
SFN,DMKN,0.16799189150333405
OTULIN,ZNF136,0.16779489815235138
IGFBP7,FBN1,0.1674126386642456
AP1G1,FAM208A,0.16730988025665283
JADE1,PHC3,0.16700851917266846
EFNA1,DSP,0.16700737178325653
CCNA2,CENPE,0.16688580811023712
ITPKB,ZDHHC18,0.1668732464313507
ADIRF,JAG1,0.1667834222316742
KRT17,ELF3,0.16676340997219086
CYB5D2,SENP7,0.1656419038772583
ZC3H8,NMT2,0.16564017534255981
TCTN3,C2ORF49,0.16558051109313965
CKS1B,TUBA1B,0.16557812690734863
ZC3H7A,SENP7,0.16530004143714905
PRSS23,AEBP1,0.16510459780693054
UACA,PPIC,0.16498170793056488
TOP2A,CDK1,0.16491033136844635
PCOLCE,CTSK,0.1648758053779602
LAMA4,CAVIN3,0.16486725211143494
RBM5,SNRK,0.1646113395690918
CWF19L1,IPO8,0.16449257731437683
KRT8,CD24,0.16444151103496552
CDK11A,HIVEP2,0.16437211632728577
ID4,PDLIM4,0.16428405046463013
DPYSL3,LAMC1,0.16407330334186554
AQP3,HIST1H2BD,0.16392426192760468
FMNL1,GALM,0.16377854347229004
RAI14,LAMC1,0.1637210100889206
DSP,DMKN,0.1635507494211197
PCOLCE,FGF7,0.1634046584367752
CYR61,TGFB1I1,0.16336974501609802
EPCAM,CALML5,0.16330738365650177
EMP1,MTUS1,0.1632377654314041
CORO1A,CD37,0.1630512773990631
ADAMTS4,LMCD1,0.16303159296512604
CDC20,PCLAF,0.1628255695104599
SPARC,IGFBP7,0.16259251534938812
GTSE1,CDC20,0.1625189334154129
FAM160B1,HIVEP2,0.1622997522354126
UACA,SERPINH1,0.16228963434696198
CYR61,CAVIN1,0.16221755743026733
TPM1,RND3,0.16216222941875458
ZC3H4,GABPB1-AS1,0.16191427409648895
PRSS23,HSPG2,0.16187548637390137
SOX9,CRYAB,0.16185055673122406
IGFBP7,ADAMTS4,0.16176213324069977
IGFBP7,CTGF,0.16171909868717194
GPS2,NSF,0.1616104394197464
