gene,weighted_degree,degree
CAV2,0.24855554103851318,2
FOXN3,0.24780189245939255,2
DNAJB4,0.24344239383935928,2
NMT2,0.24280208349227905,2
PDLIM1,0.24212444573640823,2
FAM214A,0.2388380691409111,2
COQ7,0.23679035902023315,2
MXRA8,0.23575791716575623,2
PRSS23,0.23475641012191772,2
LEO1,0.23132984340190887,2
HES4,0.2309420481324196,2
CRY1,0.23084493726491928,2
HSPH1,0.22491063177585602,1
HSP90AA1,0.22491063177585602,1
SGK1,0.22222170233726501,2
CRIP2,0.22150536626577377,2
HBEGF,0.2199220210313797,2
DST,0.21685685217380524,1
HERC4,0.21430689096450806,2
FBLN2,0.21313131600618362,2
CEP68,0.21303397417068481,2
SDC2,0.21295705437660217,2
SRGAP1,0.21115870773792267,2
KDM4B,0.20963692665100098,2
LIMA1,0.20896977931261063,2
AKNA,0.20658175647258759,1
KPNA5,0.2065533846616745,1
ICE2,0.20449168980121613,1
HSPA1A,0.19789275527000427,1
HSPA1B,0.19789275527000427,1
ANKDD1A,0.19598354399204254,1
RPGR,0.19598354399204254,1
IKBKB,0.19507113099098206,1
IER3,0.19484995305538177,1
SFRP1,0.19366636872291565,1
CCDC93,0.19357247650623322,1
GNPTAB,0.19132950901985168,1
SC5D,0.19132950901985168,1
KIAA1551,0.18833577632904053,1
BCL6,0.1853455752134323,1
CAV1,0.18439079821109772,1
GPNMB,0.1814427375793457,1
LRP1,0.1814427375793457,1
NPIPB5,0.18023434281349182,1
INPP4A,0.1793203353881836,1
LRRC75A,0.17910608649253845,1
MX1,0.1788157969713211,1
SLC38A2,0.1778939962387085,1
GSN,0.17747993767261505,1
ZNF445,0.17715606093406677,1
DCP1B,0.17511782050132751,1
B3GAT2,0.17511782050132751,1
PPP1R12C,0.17039911448955536,1
EFEMP2,0.169748455286026,1
PTBP2,0.16835938394069672,1
SMCR5,0.16835938394069672,1
HIST1H2BG,0.167019784450531,1
HIST1H1C,0.167019784450531,1
DDR2,0.1657032072544098,1
CENPC,0.16488870978355408,1
METTL17,0.1648051142692566,1
IFI27L2,0.1621640920639038,1
EMP3,0.1621640920639038,1
KLF2,0.16105647385120392,1
PIM1,0.15745073556900024,1
HIST2H2AC,0.15605460107326508,1
AC124016.1,0.15605460107326508,1
FBXO2,0.15558768808841705,1
PAQR3,0.15442480146884918,1
CDK5RAP1,0.1539229154586792,1
MYLIP,0.15200939774513245,1
GDF11,0.15125779807567596,1
KLF10,0.15079297125339508,1
RBM19,0.1500452160835266,1
SELENOP,0.1498381644487381,1
RNASE1,0.14709946513175964,1
SLC38A1,0.14701205492019653,1
TUBA4A,0.14701205492019653,1
AC097376.2,0.14529243111610413,1
ARID2,0.1451718956232071,1
PTPRE,0.1451200544834137,1
CAMK2N1,0.1442292034626007,1
TSC22D1,0.1441415250301361,1
PDGFRA,0.14109118282794952,1
PDGFRL,0.14109118282794952,1
SOD3,0.1404457539319992,1
ZNF600,0.13922205567359924,1
VCPKMT,0.13767081499099731,1
MON2,0.13619211316108704,1
GLMN,0.13512134552001953,1
C22ORF46,0.13512134552001953,1
PARP14,0.13501064479351044,1
FRZB,0.13493004441261292,1
NR1D2,0.13421884179115295,1
RARRES2,0.13389670848846436,1
ID4,0.13373085856437683,1
HIST1H2AC,0.13161629438400269,1
SPRY1,0.12996605038642883,1
VSIR,0.12991304695606232,1
TUT7,0.1296611726284027,1
LINS1,0.12941974401474,1
KLF7,0.1292419731616974,1
DUSP6,0.1292419731616974,1
ITPRIP,0.12908883392810822,1
TBC1D4,0.1286734789609909,1
FRMD4B,0.1286734789609909,1
CXCL14,0.12769775092601776,1
C19ORF66,0.12751637399196625,1
RNF213,0.12751637399196625,1
C3,0.1275128722190857,1
SWAP70,0.12681937217712402,1
EGR3,0.12626707553863525,1
DCLRE1C,0.12618163228034973,1
OSTM1,0.12583546340465546,1
MTHFR,0.12583546340465546,1
EMP1,0.12530052661895752,1
APOC1,0.12510168552398682,1
APOE,0.12510168552398682,1
MED27,0.12342997640371323,1
SPRTN,0.12288083881139755,1
FHL2,0.12265472114086151,1
MGA,0.1225765123963356,1
PDS5B,0.1225765123963356,1
TOB2,0.12133904546499252,1
CYTH1,0.12104455381631851,1
TCF4,0.12097665667533875,1
EED,0.11897563934326172,1
STK17B,0.11871301382780075,1
ATG2A,0.11871301382780075,1
IER5,0.11861308664083481,1
TIMP1,0.11790671944618225,1
NR3C1,0.11788884550333023,1
RAP2B,0.1176835224032402,1
ZNF654,0.1176835224032402,1
QSOX2,0.11752881109714508,1
TRIM41,0.11752881109714508,1
RHOQ,0.11705183237791061,1
LGALS3BP,0.11699829250574112,1
MT-ND2,0.11682754009962082,1
RASGEF1B,0.11661026626825333,1
FAM13B,0.11596314609050751,1
MRNIP,0.11596314609050751,1
EPM2AIP1,0.11524928361177444,1
RORA,0.11523523926734924,1
CRIP1,0.11523523926734924,1
PHLDA1,0.11511355638504028,1
HCG18,0.1145927831530571,1
THUMPD1,0.1145927831530571,1
GTF3C1,0.11402443051338196,1
SLC25A44,0.11402443051338196,1
WDR26,0.11389196664094925,1
ZFP36L1,0.11351483315229416,1
CNST,0.11296665668487549,1
ERVK3-1,0.1123838871717453,1
PNMA1,0.11211512237787247,1
NSMAF,0.11159589141607285,1
MT1X,0.11149050295352936,1
S100A6,0.11142055690288544,1
S100A10,0.11142055690288544,1
CENPW,0.11132410168647766,1
