gene_a,gene_b,weight
NBL1,NFAT5,0.1560884416103363
AC124016.1,HIST2H2AC,0.15605460107326508
NR2F2,MAP1B,0.15578199923038483
KRT5,FBXO2,0.15558768808841705
ELF3,SDC4,0.15530118346214294
TMEM245,XPA,0.1552305370569229
MYL9,PHLDA3,0.15503931045532227
CCND1,NDRG2,0.15492452681064606
CSKMT,PAQR3,0.15442480146884918
JADE1,CEP95,0.15418894588947296
ADAL,CDK5RAP1,0.1539229154586792
ZBED5,PRPF39,0.15345723927021027
AC005921.2,CEP95,0.15342926979064941
VAMP4,CLK4,0.1530226171016693
TTC39C,PRKACB,0.15292832255363464
C1S,FBLN1,0.15204693377017975
C1R,PCOLCE,0.1520129293203354
MAFF,MYLIP,0.15200939774513245
ADAMTS4,MAP1B,0.1519455462694168
MAL2,CD24,0.15174630284309387
COL16A1,CYR61,0.15144890546798706
CELF2,SAMHD1,0.1513153314590454
ZBTB11,GDF11,0.15125779807567596
FBN1,BGN,0.15090706944465637
CREBRF,ELF1,0.15085117518901825
CEBPD,KLF10,0.15079297125339508
TACC1,TGFBR2,0.15021851658821106
LHFPL6,CFH,0.15013393759727478
ZBED5,SIRT1,0.15010614693164825
AL645728.1,RBM19,0.1500452160835266
UBQLN2,RAP2C,0.14987602829933167
MAFB,SELENOP,0.1498381644487381
COL1A2,AEBP1,0.14975178241729736
UBQLN2,CLK4,0.14958085119724274
PIP4K2A,MALT1,0.14936359226703644
TAGLN,TPM2,0.14886192977428436
COL14A1,IGFBP6,0.14859391748905182
TGFBR2,TRIM22,0.14854814112186432
NFIA,HES1,0.14827191829681396
RIPK1,CDK13,0.14819969236850739
RAP2C,CLK4,0.14782482385635376
OGT,CLK4,0.14775416254997253
COL6A1,ANGPTL4,0.14757563173770905
HLA-DPB1,RNASE1,0.14709946513175964
CAVIN3,MAP1B,0.14706505835056305
RNASEK,CPEB4,0.1470373272895813
SLC38A1,TUBA4A,0.14701205492019653
DPYSL3,MAP1B,0.14654622972011566
PCNA,ANP32E,0.14623601734638214
EPCAM,DMKN,0.14622996747493744
CYBRD1,ZFHX3,0.14618223905563354
COL6A2,MAP1B,0.14611534774303436
CEP95,WDR37,0.14560844004154205
SERPINH1,EMP2,0.1455942541360855
SERPINF1,SERPING1,0.14558684825897217
CEP95,AC097376.2,0.14529243111610413
IGFBP4,CTGF,0.145249143242836
SOX9,SDC4,0.14521148800849915
ARID2,SMARCE1,0.1451718956232071
MAL2,SLPI,0.14516159892082214
DUSP1,SOCS3,0.14514344930648804
PTPRE,TPP1,0.1451200544834137
KLHL20,VAMP4,0.14426088333129883
TPM1,CAMK2N1,0.1442292034626007
ERRFI1,TSC22D1,0.1441415250301361
CEMIP2,RANBP2,0.1440773606300354
DUSP1,CSRNP1,0.14406199753284454
NAF1,AP1G1,0.14399346709251404
KRT17,EPCAM,0.14380395412445068
AEBP1,IGFBP4,0.14358943700790405
NDRG2,HES1,0.14326992630958557
SPARC,PLPP1,0.14308276772499084
FBLN1,BGN,0.14290021359920502
TPM2,SH3PXD2A,0.1427145004272461
RNF166,EPB41,0.14227040112018585
COL6A2,C1R,0.14223389327526093
COL1A1,CTSK,0.14199519157409668
AEBP1,RBMS3,0.1418340802192688
ADAMTS4,ABL1,0.14115287363529205
HIVEP1,PGM2L1,0.14112475514411926
COL6A1,C1R,0.14110583066940308
PDGFRA,PDGFRL,0.14109118282794952
SNRNP200,SPTY2D1,0.14105506241321564
ANGPTL4,MAP1B,0.14045070111751556
PCOLCE,SOD3,0.1404457539319992
MAL2,KRT18,0.14019626379013062
C1S,PCOLCE,0.14007513225078583
KLF9,MAP1B,0.14002752304077148
COL1A2,CTSK,0.13959646224975586
ELF1,CELF2,0.13926658034324646
CSKMT,ZNF600,0.13922205567359924
GTF2B,AP1G1,0.13921840488910675
ATG14,NFAT5,0.1391800343990326
CD24,SLPI,0.13871265947818756
PIKFYVE,CSGALNACT2,0.1385316252708435
EPCAM,S100A14,0.13851803541183472
NNMT,HSPG2,0.13842378556728363
SNRNP200,CEP95,0.13806109130382538
COL1A2,CFH,0.13784021139144897
USP38,CBLL1,0.1378169059753418
AL645728.1,VCPKMT,0.13767081499099731
SERPINH1,MMP14,0.13745735585689545
SNRNP200,XPA,0.13742373883724213
MAL2,S100A14,0.13708822429180145
ZC3H8,WDR37,0.13700269162654877
FAM214A,KAT6B,0.13698050379753113
AP1G1,LACTB,0.13697262108325958
ZBTB11,PFKFB3,0.13680440187454224
LAMA4,DPYSL3,0.13642293214797974
KRT7,WFDC2,0.1362752765417099
ATG14,MON2,0.13619211316108704
PUM2,ZMYM2,0.13595522940158844
SFN,S100A2,0.13583095371723175
ZBTB11,GTF2B,0.13538900017738342
C22ORF46,GLMN,0.13512134552001953
C1R,COL1A2,0.1350913941860199
B2M,PARP14,0.13501064479351044
UBQLN2,ZNF7,0.13499312102794647
FRZB,MXRA8,0.13493004441261292
CLDN4,KRT8,0.13456927239894867
C1S,LHFPL6,0.13431952893733978
CTSK,THBS2,0.13424302637577057
DNAJB4,NR1D2,0.13421884179115295
C1S,FBN1,0.13408538699150085
CCDC80,RARRES2,0.13389670848846436
SH3PXD2A,ID4,0.13373085856437683
COL1A1,CCDC80,0.1336863934993744
COL14A1,CTSK,0.1335078477859497
ZC3H8,PGM2L1,0.13349777460098267
COL6A2,LHFPL6,0.13342681527137756
KRT7,SDC4,0.1329791396856308
RNASEK,ZBTB1,0.13268166780471802
PIKFYVE,SPG11,0.1324123740196228
FEM1C,HIVEP1,0.1323424130678177
SNIP1,ZNF506,0.13230235874652863
CCDC84,CEMIP2,0.13227321207523346
