condition,gene,weighted_degree,degree
ER_tumor,UGP2,0.9593698009848596,7
ER_tumor,GOSR1,0.9579443782567978,6
ER_tumor,IL13RA1,0.95565614849329,5
ER_tumor,WAC,0.9547064378857611,8
ER_tumor,PTPN12,0.946299821138382,5
ER_tumor,SDF4,0.942288674414158,7
ER_tumor,MGST3,0.935373105108738,6
ER_tumor,IVNS1ABP,0.92899988591671,7
ER_tumor,MAP3K2,0.92661052942276,5
ER_tumor,CD59,0.9265648275613784,7
ER_tumor,ARL2BP,0.9247009381651878,7
ER_tumor,U2AF2,0.9243460595607758,6
ER_tumor,LRP10,0.9229153767228128,8
ER_tumor,HLA-A,0.922755502164364,4
ER_tumor,USP16,0.9101373702287674,7
ER_tumor,SMC3,0.9070517644286156,7
ER_tumor,AC118549.1,0.9030732437968254,6
ER_tumor,SLC35F6,0.9010538756847382,5
ER_tumor,BHLHE40,0.8989259898662567,7
ER_tumor,ANXA4,0.8966217339038849,6
ER_tumor,CAST,0.8954805880784988,7
ER_tumor,SELENOS,0.8932461738586426,5
ER_tumor,SYNCRIP,0.8805712908506393,4
ER_tumor,NKIRAS2,0.878000520169735,6
ER_tumor,PMPCA,0.8778144642710686,6
ER_tumor,SCAF11,0.8769558668136597,6
ER_tumor,SUPT20H,0.8707328289747238,7
ER_tumor,PNN,0.8628019094467163,6
ER_tumor,TAGLN,0.8606152981519699,3
ER_tumor,NOTCH3,0.851615197956562,6
ER_tumor,NUDT21,0.8450787216424942,6
ER_tumor,PPP6R3,0.8426869213581085,4
ER_tumor,RFC1,0.8368531465530396,6
ER_tumor,TRIP12,0.8352659642696381,5
ER_tumor,CREB1,0.8342028930783272,7
ER_tumor,MRPS5,0.8304417207837105,4
ER_tumor,HADHA,0.8213640004396439,6
ER_tumor,PPHLN1,0.8203095942735672,5
ER_tumor,CTDSP1,0.8180397599935532,6
ER_tumor,ATP13A3,0.8164487779140472,6
ER_tumor,SPSB3,0.8139221668243408,6
ER_tumor,STAMBP,0.8134402632713318,6
ER_tumor,TGIF1,0.8131848573684692,7
ER_tumor,GRAMD1A,0.8092824816703796,6
ER_tumor,RDX,0.8069220185279846,6
ER_tumor,TTC1,0.7956463098526001,5
ER_tumor,ANXA7,0.78697070479393,4
ER_tumor,RBM26,0.7813777551054955,4
ER_tumor,APBB2,0.7786780595779419,4
ER_tumor,MNAT1,0.7771993726491928,5
ER_tumor,ARPC4,0.7741366550326347,6
ER_tumor,RREB1,0.7720902487635612,6
ER_tumor,TUBA1A,0.7653472274541855,5
ER_tumor,MPRIP,0.7617144659161568,6
ER_tumor,WASF2,0.7599484920501709,5
ER_tumor,SSR4,0.7581112682819366,3
ER_tumor,GLG1,0.756055973470211,5
ER_tumor,CHD4,0.7537692338228226,6
ER_tumor,SNRNP27,0.7512131854891777,4
ER_tumor,B2M,0.750380277633667,4
ER_tumor,CALD1,0.7433315813541412,3
ER_tumor,GMFB,0.73442442715168,3
ER_tumor,CDC37,0.729798898100853,5
ER_tumor,PSMD11,0.7274227887392044,5
ER_tumor,UBL3,0.7264832034707069,5
ER_tumor,KRT19,0.7226857244968414,2
ER_tumor,IPO9,0.7166328430175781,5
ER_tumor,GLUD1,0.7166011407971382,4
ER_tumor,KIAA2026,0.7131524458527565,5
ER_tumor,CUL3,0.7128020823001862,6
ER_tumor,NQO2,0.712288923561573,5
ER_tumor,STT3A,0.7081408649682999,5
ER_tumor,SLBP,0.7045543268322945,5
ER_tumor,THBS1,0.7040236070752144,5
ER_tumor,MARCH7,0.7018656879663467,5
ER_tumor,KRT8,0.7018482983112335,3
ER_tumor,NT5C,0.6988147869706154,6
ER_tumor,MARK3,0.6931530237197876,4
ER_tumor,PPP1R12A,0.690723106265068,5
ER_tumor,TMEM176A,0.6863982677459717,1
ER_tumor,TMEM176B,0.6863982677459717,1
ER_tumor,NEMF,0.685096986591816,5
ER_tumor,APP,0.6843727678060532,5
ER_tumor,MFSD11,0.6816980913281441,4
ER_tumor,MIER1,0.6783326789736748,4
ER_tumor,PTEN,0.6737409234046936,4
ER_tumor,SUZ12,0.673416405916214,3
ER_tumor,ADAM17,0.6713576316833496,4
ER_tumor,ARGLU1,0.6664545685052872,3
ER_tumor,PPP2R3C,0.6655042394995689,4
ER_tumor,RBMX2,0.6603705585002899,3
ER_tumor,MITD1,0.6601279228925705,5
ER_tumor,C5orf15,0.656940408051014,5
ER_tumor,HERC2,0.6526009440422058,6
ER_tumor,STRN3,0.6521649062633514,4
ER_tumor,LGALS8,0.6515988260507584,3
ER_tumor,RIN2,0.6491317972540855,5
ER_tumor,R3HDM2,0.6452218890190125,4
ER_tumor,PHF14,0.6391860023140907,5
ER_tumor,YAF2,0.6384273022413254,4
ER_tumor,TCF25,0.6331256926059723,5
ER_tumor,DHX9,0.6319103837013245,4
ER_tumor,GOLGA7,0.6311766356229782,4
ER_tumor,RPIA,0.6300008594989777,4
ER_tumor,HECTD1,0.6284318044781685,4
ER_tumor,MPZL1,0.6258462443947792,4
ER_tumor,KRAS,0.6230742782354355,3
ER_tumor,USP8,0.6205930113792419,3
ER_tumor,MYL9,0.6196981817483902,3
ER_tumor,KPNA4,0.6186082512140274,4
ER_tumor,TFDP2,0.6184698864817619,4
ER_tumor,ILF3,0.617530032992363,3
ER_tumor,TIAL1,0.6118088811635971,3
ER_tumor,ZFX,0.6095445156097412,3
ER_tumor,RAB3GAP1,0.6049904078245163,3
ER_tumor,OS9,0.6036558374762535,4
ER_tumor,ACSL3,0.6018936783075333,4
ER_tumor,FKBP2,0.5980197489261627,3
ER_tumor,RHOT2,0.5961927771568298,5
ER_tumor,POLR3GL,0.5954924747347832,4
ER_tumor,ELF3,0.592961311340332,4
ER_tumor,PDHB,0.5899563282728195,3
ER_tumor,SNX6,0.588895782828331,3
ER_tumor,HLA-E,0.5879816263914108,3
ER_tumor,PEPD,0.5833476409316063,5
ER_tumor,ZNF511,0.5832692682743073,4
ER_tumor,LSM10,0.5796849057078362,4
ER_tumor,DCTN6,0.5776016041636467,5
ER_tumor,SAMM50,0.5771910399198532,3
ER_tumor,KRT18,0.5763931125402451,2
ER_tumor,LIMA1,0.5740861222147942,4
ER_tumor,CCDC127,0.5728307887911797,4
ER_tumor,UBAC2,0.5726858526468277,4
ER_tumor,FUBP3,0.5724890977144241,4
ER_tumor,INO80D,0.5720324143767357,4
ER_tumor,SMAP1,0.5712001323699951,4
ER_tumor,XIAP,0.5708353221416473,3
ER_tumor,CWC25,0.5690538510680199,4
ER_tumor,RAF1,0.5678893327713013,3
ER_tumor,NUCB1,0.5676193237304688,4
ER_tumor,UFL1,0.5665440261363983,4
ER_tumor,IST1,0.5639076605439186,4
ER_tumor,USP1,0.5622522458434105,3
ER_tumor,JKAMP,0.559403695166111,3
ER_tumor,MED13,0.5543400198221207,4
ER_tumor,PUM3,0.553107388317585,5
ER_tumor,MAP1LC3A,0.5518943667411804,4
ER_tumor,HGS,0.5510142147541046,4
ER_tumor,MT-ATP6,0.5508504658937454,3
ER_tumor,DNAJC3,0.5499551445245743,4
ER_tumor,ANAPC5,0.5498766601085663,4
ER_tumor,SLC35C2,0.5485122799873352,4
ER_tumor,MLLT10,0.5483826547861099,4
ER_tumor,LTBR,0.5476481094956398,4
ER_tumor,WDR26,0.5460523068904877,3
ER_tumor,CHD6,0.5459587424993515,4
ER_tumor,KDSR,0.5426189973950386,3
ER_tumor,TERF1,0.5417596995830536,4
ER_tumor,PMP22,0.5399748831987381,4
ER_tumor,CD47,0.5388154685497284,4
ER_tumor,ZBTB20,0.5374568104743958,4
ER_tumor,TPM1,0.5351869612932205,4
ER_tumor,CBFB,0.5309261605143547,4
ER_tumor,VWA1,0.530025027692318,4
ER_tumor,AATF,0.5283882170915604,4
ER_tumor,B4GALT4,0.5258884578943253,4
ER_tumor,PPAN,0.5251009911298752,4
ER_tumor,C9orf16,0.5227478370070457,4
ER_tumor,RCN1,0.5189616605639458,3
ER_tumor,ISY1,0.517360158264637,4
ER_tumor,RBM17,0.5150763541460037,3
ER_tumor,ITGB1BP1,0.5149747580289841,3
ER_tumor,PAFAH1B1,0.5135437399148941,3
ER_tumor,MAPRE1,0.5038893148303032,4
ER_tumor,SMARCD1,0.5033045634627342,3
ER_tumor,S100PBP,0.5014941990375519,3
ER_tumor,MT-ND4,0.4959025233983993,2
ER_tumor,GRN,0.4949148148298263,4
ER_tumor,FAM91A1,0.4871743321418762,3
ER_tumor,RND3,0.4838148579001426,3
ER_tumor,MT-CYB,0.4809513539075851,2
ER_tumor,ZBTB8OS,0.480618916451931,4
ER_tumor,DNASE2,0.479604110121727,4
ER_tumor,ELMSAN1,0.4789827316999435,4
ER_tumor,FNBP4,0.4742968529462814,4
ER_tumor,MYH9,0.4715848639607429,2
ER_tumor,CTSZ,0.471154011785984,4
ER_tumor,PRKAG2,0.4706601127982139,4
ER_tumor,PTP4A2,0.4677821099758148,4
ER_tumor,PARVA,0.4675438329577446,3
ER_tumor,TAF15,0.4662614911794662,2
ER_tumor,HDAC7,0.4656385034322738,4
ER_tumor,ITGAE,0.4651341736316681,3
ER_tumor,CYSTM1,0.4628362953662872,3
ER_tumor,MAT2B,0.4567194357514381,3
ER_tumor,BCAP29,0.4550357013940811,3
ER_tumor,THEM4,0.451610192656517,3
ER_tumor,FGFR1OP2,0.4511338919401169,2
ER_tumor,PSAP,0.4510938674211502,3
ER_tumor,ZFHX3,0.4505747482180595,4
ER_tumor,CTDNEP1,0.4479330480098724,2
ER_tumor,PRPF40A,0.4474963247776031,2
ER_tumor,POLR2A,0.4474756121635437,3
ER_tumor,HIP1,0.4474723637104034,4
ER_tumor,CHSY1,0.4471646845340729,3
ER_tumor,VPS26A,0.4470380768179893,3
ER_tumor,BAZ2B,0.4461390823125839,2
ER_tumor,GYG1,0.4440052509307861,2
ER_tumor,ST5,0.4430888965725899,3
ER_tumor,PSMC1,0.4429276287555694,2
ER_tumor,CHMP1A,0.4420365169644356,3
ER_tumor,GMPR2,0.4401632323861122,3
ER_tumor,CCNL2,0.4378349781036377,3
ER_tumor,SEC13,0.4375740811228752,3
ER_tumor,C1orf123,0.4372503459453583,2
ER_tumor,LUC7L,0.4370252341032028,3
ER_tumor,ZDHHC6,0.4350544139742851,3
ER_tumor,RNASEH1,0.4335098937153816,3
ER_tumor,PSMC4,0.4284271374344826,3
ER_tumor,MAP2K2,0.4269713759422302,3
ER_tumor,ARID1A,0.4267612025141716,3
ER_tumor,FBXO7,0.423258937895298,3
ER_tumor,RUFY1,0.4230276197195053,3
ER_tumor,HIPK3,0.4227432757616043,3
ER_tumor,TNFAIP1,0.4224151819944381,3
ER_tumor,SPPL3,0.421422928571701,3
ER_tumor,VCP,0.4204180985689163,3
ER_tumor,LNPEP,0.419451929628849,2
ER_tumor,KDM1A,0.4181032478809356,2
ER_tumor,CDK5RAP2,0.4177970141172409,3
ER_tumor,INPPL1,0.4170141369104385,3
ER_tumor,KPNB1,0.4169441685080528,3
ER_tumor,SMARCC2,0.4164086952805519,3
ER_tumor,THUMPD1,0.4159821420907974,3
ER_tumor,AHI1,0.4115201607346535,3
ER_tumor,PRKAR1A,0.4099035859107971,3
ER_tumor,TRIM56,0.4096932858228683,3
ER_tumor,ARHGAP5,0.4095737263560295,3
ER_tumor,STAT6,0.406508520245552,2
ER_tumor,SRPRB,0.4057247042655945,2
ER_tumor,CIC,0.405598022043705,3
ER_tumor,DAAM1,0.4036170542240143,3
ER_tumor,PTDSS1,0.4033110365271568,3
ER_tumor,HNRNPM,0.4010499864816665,3
ER_tumor,XPA,0.4006764441728592,2
ER_tumor,LARP7,0.4004550129175186,3
ER_tumor,STAG2,0.400358647108078,3
ER_tumor,GCC2,0.3987873494625091,2
ER_tumor,SUPT5H,0.3985017985105514,2
ER_tumor,CCDC186,0.398422047495842,2
ER_tumor,ATG13,0.3979525715112686,3
ER_tumor,HLA-C,0.3952172249555588,2
ER_tumor,SLC30A7,0.3948707282543182,2
ER_tumor,PUM1,0.3946235775947571,2
ER_tumor,DPP7,0.394286461174488,3
ER_tumor,KAT6B,0.3920468315482139,2
ER_tumor,CHURC1,0.3905176371335983,3
