condition,source_conditions,selected_power,community_id,n_nodes,n_internal_edges,mean_internal_edge_weight,top_hub_genes,top_hub_1,top_hub_2,top_hub_3
HER2_tumor,,20,11,15,28,0.29233639261552263,KRT18 | CLDN3 | CD24,KRT18,CLDN3,CD24
HER2_tumor,,20,12,15,19,0.2506725897914485,EFCAB14 | AEBP2 | KIDINS220,EFCAB14,AEBP2,KIDINS220
HER2_tumor,,20,13,12,23,0.3780769874220309,HLA-DPB1 | HLA-DPA1 | HLA-DQB1,HLA-DPB1,HLA-DPA1,HLA-DQB1
HER2_tumor,,20,14,9,12,0.3138074154655139,ZNF654 | SLC25A46 | FAM76A,ZNF654,SLC25A46,FAM76A
HER2_tumor,,20,15,8,18,0.3890340468949742,COL1A2 | LUM | DCN,COL1A2,LUM,DCN
HER2_tumor,,20,16,7,8,0.25319297239184374,TNS1 | FCHO2 | PDK4,TNS1,FCHO2,PDK4
HER2_tumor,,20,17,6,7,0.39856429610933575,MT-CO3 | MT-ATP6 | MT-ND3,MT-CO3,MT-ATP6,MT-ND3
HER2_tumor,,20,18,6,11,0.30475532195784827,PTAR1 | NOL8 | DENND6A,PTAR1,NOL8,DENND6A
HER2_tumor,,20,19,6,5,0.2390719473361969,MXRA8 | LOXL1 | TMEM98,MXRA8,LOXL1,TMEM98
HER2_tumor,,20,20,6,6,0.2565890997648239,DOCK9 | PLCG1 | GRPEL2,DOCK9,PLCG1,GRPEL2
HER2_tumor,,20,21,6,5,0.24337155222892756,NRP1 | KCTD12 | A2M,NRP1,KCTD12,A2M
HER2_tumor,,20,22,5,4,0.26510031893849373,CD3D | TRBC2 | TRAC,CD3D,TRBC2,TRAC
HER2_tumor,,20,23,5,5,0.29932661056518556,CWC22 | USP24 | YTHDC2,CWC22,USP24,YTHDC2
HER2_tumor,,20,24,5,4,0.24900315329432485,SERPINF1 | AXL | PLXNC1,SERPINF1,AXL,PLXNC1
HER2_tumor,,20,25,5,6,0.3112187733252843,GIMAP4 | ABI3 | GIMAP7,GIMAP4,ABI3,GIMAP7
HER2_tumor,,20,26,5,4,0.27374219894409174,HPS5 | ENTPD4 | STX7,HPS5,ENTPD4,STX7
HER2_tumor,,20,27,5,4,0.21297308057546613,SP100 | NSMCE3 | CCND3,SP100,NSMCE3,CCND3
HER2_tumor,,20,28,5,5,0.2424649000167846,FAM193B | CEP120 | CDKAL1,FAM193B,CEP120,CDKAL1
HER2_tumor,,20,29,4,3,0.3083021640777588,GABARAPL1 | BTN2A1 | PLEKHM1,GABARAPL1,BTN2A1,PLEKHM1
HER2_tumor,,20,30,4,4,0.2558607459068298,SNRNP35 | DCLRE1C | HIRIP3,SNRNP35,DCLRE1C,HIRIP3
HER2_tumor,,20,31,4,4,0.2455620504915714,NRP2 | TUBB6 | GSN,NRP2,TUBB6,GSN
HER2_tumor,,20,32,4,3,0.24814624090989432,PTPRA | LARP7 | ANKLE2,PTPRA,LARP7,ANKLE2
HER2_tumor,,20,33,4,5,0.2941770404577255,ARHGEF9 | ERCC6L2 | ZNF136,ARHGEF9,ERCC6L2,ZNF136
HER2_tumor,,20,34,4,3,0.2422734946012497,PELP1 | MCM7 | ARFGAP1,PELP1,MCM7,ARFGAP1
HER2_tumor,,20,35,3,2,0.4372863322496414,FCGR3A | C3AR1 | C1QA,FCGR3A,C3AR1,C1QA
HER2_tumor,,20,36,3,2,0.3271005377173424,ZNRD1 | YJU2 | CCDC28A,ZNRD1,YJU2,CCDC28A
HER2_tumor,,20,37,3,2,0.33876083791255945,DCP1A | CDS2 | COX19,DCP1A,CDS2,COX19
HER2_tumor,,20,38,3,2,0.3110284954309463,NAA16 | PTPN4 | CUL9,NAA16,PTPN4,CUL9
HER2_tumor,,20,39,3,3,0.2744233161211013,SERPINH1 | SMTN | TWSG1,SERPINH1,SMTN,TWSG1
HER2_tumor,,20,40,3,3,0.27386887371540064,ARL6IP1 | STMN1 | KPNA2,ARL6IP1,STMN1,KPNA2
