condition,gene_a,gene_b,weight
ER_tumor,HNRNPR,SHOC2,0.2215214222669601
ER_tumor,AGO3,CCAR1,0.2214081287384033
ER_tumor,AGO3,RBM6,0.2212681323289871
ER_tumor,EMC10,CDC26,0.2211733013391494
ER_tumor,SUGP2,TFDP2,0.2210233658552169
ER_tumor,EMC10,FRG1,0.2207435220479965
ER_tumor,HLA-B,HLA-C,0.2206412404775619
ER_tumor,HLA-B,B2M,0.2205185741186142
ER_tumor,RDH11,UBL3,0.2201815843582153
ER_tumor,MRPS5,SYNCRIP,0.2201136499643325
ER_tumor,TACSTD2,ELF3,0.2196000963449478
ER_tumor,SERINC5,STAT6,0.2194922417402267
ER_tumor,SYNCRIP,POLR2A,0.2188498526811599
ER_tumor,MFSD11,NAAA,0.2187703549861908
ER_tumor,CHD3,NUDT3,0.2184693366289138
ER_tumor,SLBP,MZT1,0.218109905719757
ER_tumor,BCLAF1,NKTR,0.2180082201957702
ER_tumor,PRRC2B,CCNY,0.2170623838901519
ER_tumor,SCNM1,GON4L,0.2170203626155853
ER_tumor,LEPROT,ZC3H13,0.2169998288154602
ER_tumor,RAB6A,PPP3CB,0.216872826218605
ER_tumor,CDK5RAP2,ZDHHC6,0.2165986746549606
ER_tumor,CASC4,UBTF,0.2165621519088745
ER_tumor,RNF115,TM2D3,0.2159197181463241
ER_tumor,GOLGA7,CNIH1,0.2156011909246444
ER_tumor,TUBA1A,SMAD2,0.2155681699514389
ER_tumor,RBM26,JKAMP,0.214962437748909
ER_tumor,PUM1,ANKLE2,0.2147061973810196
ER_tumor,RNASEH1,NKAP,0.2139405757188797
ER_tumor,KRT18,KRT8,0.2138703316450119
ER_tumor,CDC73,MED13,0.2137566357851028
ER_tumor,PSMD11,CWC25,0.2136433869600296
ER_tumor,ATP6AP2,PAFAH1B1,0.2134234011173248
ER_tumor,EFCAB14,MINDY2,0.2132845222949981
ER_tumor,C9orf78,EPC1,0.2129279971122741
ER_tumor,MINDY2,CHSY1,0.2129134535789489
ER_tumor,MCL1,YPEL5,0.2127876281738281
ER_tumor,ANKRD10,KDM5A,0.2126500904560089
ER_tumor,HGS,FBXO7,0.2124269753694534
ER_tumor,SLC30A7,MAT2B,0.2121500968933105
ER_tumor,MED21,CHMP1A,0.2121104747056961
ER_tumor,IAH1,MCL1,0.2118827104568481
ER_tumor,HNRNPH3,DUT,0.2118644118309021
ER_tumor,TCERG1,RALA,0.2117766886949539
ER_tumor,HNRNPR,C22orf39,0.2117729932069778
ER_tumor,BDP1,AGO3,0.2114405333995819
ER_tumor,NRDE2,NCOA2,0.2114251405000686
ER_tumor,IAH1,UBE2H,0.2113025933504104
ER_tumor,LRPAP1,TSPAN3,0.2112861275672912
ER_tumor,KRAS,GYG1,0.2104177772998809
ER_tumor,WASF2,MLXIP,0.2103859186172485
ER_tumor,TRIP12,PRPF4B,0.210259199142456
ER_tumor,GLUD1,YAF2,0.2097871303558349
ER_tumor,RBM6,B4GALT4,0.2096407562494278
ER_tumor,TERF2IP,PPP6C,0.2093922942876815
ER_tumor,HLA-DRA,HLA-DPB1,0.2093425095081329
ER_tumor,TJP1,GABBR1,0.2093310356140136
ER_tumor,PPP6C,TMEM126A,0.2093207836151123
ER_tumor,SVIL,ST5,0.2090462744235992
ER_tumor,MIER1,SENP6,0.2090461403131485
ER_tumor,PJA2,SERINC1,0.2088746726512909
ER_tumor,LSM8,ACAP2,0.2085969597101211
ER_tumor,TNRC6B,PTEN,0.2085021734237671
ER_tumor,DSP,TRPS1,0.2083168923854828
ER_tumor,ARMCX3,SECISBP2,0.2081180959939956
ER_tumor,PPP2R5E,SPTAN1,0.2076136320829391
ER_tumor,RBM6,RNF115,0.2073756158351898
ER_tumor,EMC10,C22orf39,0.2073310911655426
ER_tumor,D2HGDH,ATXN3,0.2070291489362716
ER_tumor,BMPR2,NCOR2,0.2068465948104858
ER_tumor,PRRC2B,ANXA4,0.2067243009805679
ER_tumor,BDP1,CCAR1,0.206383928656578
ER_tumor,TLK1,ELF2,0.20631805062294
ER_tumor,USP47,ELF2,0.2063043415546417
ER_tumor,IAH1,SMARCB1,0.2062954306602478
ER_tumor,TTC1,DNAJC15,0.2062877118587494
ER_tumor,EMC10,C16orf72,0.2058968842029571
ER_tumor,SLC20A1,ZNF131,0.2058221250772476
ER_tumor,UBE2H,USP9X,0.205728143453598
ER_tumor,SMC1A,SHOC2,0.2053120881319046
ER_tumor,HNRNPH3,CEBPZ,0.2049454897642135
ER_tumor,DDX17,ARID1A,0.2047472447156906
ER_tumor,IAH1,IFT20,0.2046905755996704
ER_tumor,NUDCD3,RBBP5,0.2046344429254531
ER_tumor,STAG1,CUX1,0.2045518010854721
ER_tumor,RAB6A,USP9X,0.2044583708047866
ER_tumor,AIMP1,KPNB1,0.2043419033288955
ER_tumor,LRPAP1,DNAJC15,0.2042319625616073
ER_tumor,MARCH6,EMC10,0.2040717601776123
ER_tumor,IAH1,KDM5A,0.2038915455341339
ER_tumor,LRPPRC,TM2D3,0.2035140991210937
ER_tumor,FGFR1OP2,TRADD,0.2030889242887497
ER_tumor,JUNB,ZFP36,0.2029911577701568
ER_tumor,MT-ND4,MT-ATP6,0.2026957422494888
ER_tumor,CCNY,NCOR2,0.2025789320468902
ER_tumor,ARID1B,PPP6R3,0.2025208622217178
ER_tumor,EFCAB14,ANXA4,0.2024944573640823
ER_tumor,RBMX2,CASC3,0.2021712809801101
ER_tumor,TM9SF3,TM2D1,0.2020728886127472
ER_tumor,KIAA1217,TNKS1BP1,0.2014228254556656
ER_tumor,KDM5A,PPP3CB,0.2013420760631561
ER_tumor,TRIM4,PRR14,0.2012491226196289
ER_tumor,MARCH7,INO80D,0.2006906270980835
ER_tumor,CHD3,SLK,0.2005904465913772
ER_tumor,TERF2IP,NEU1,0.200489804148674
ER_tumor,SPIN1,LTBR,0.2002691179513931
ER_tumor,S100A13,ADIRF,0.2002225518226623
ER_tumor,ZNF106,SPTAN1,0.2001948803663253
ER_tumor,C22orf39,SHOC2,0.1999116092920303
ER_tumor,MARCH6,SHOC2,0.1998940408229828
ER_tumor,MCL1,KDM5A,0.1995754539966583
ER_tumor,RPN1,USO1,0.1992590129375457
ER_tumor,ZBTB20,KMT2A,0.1988213658332824
ER_tumor,SUPT16H,MAP3K2,0.198819562792778
ER_tumor,SLK,LIMA1,0.1982734948396682
ER_tumor,USP8,IDI1,0.1982432454824447
