condition,source_conditions,selected_power,community_id,n_nodes,n_internal_edges,mean_internal_edge_weight,top_hub_genes,top_hub_1,top_hub_2,top_hub_3
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,13,4,3,0.10727969060341513,PJA2 | FTX | PIK3CA,PJA2,FTX,PIK3CA
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,14,3,2,0.28085157275199885,HSPA1B | HSPA1A | DNAJB1,HSPA1B,HSPA1A,DNAJB1
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,15,3,2,0.1273720785975456,PECAM1 | RASGRP3 | CARD8,PECAM1,RASGRP3,CARD8
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,16,3,2,0.16132424771785736,INO80D | KIDINS220 | RLF,INO80D,KIDINS220,RLF
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,17,3,2,0.11238612234592435,ENG | RIPOR1 | CD93,ENG,RIPOR1,CD93
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,18,3,2,0.10771476104855535,SMAD1 | HYAL2 | RALGAPA2,SMAD1,HYAL2,RALGAPA2
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,19,3,2,0.1177189350128173,KIAA1109 | S100PBP | VPS13C,KIAA1109,S100PBP,VPS13C
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,20,3,2,0.12544630467891685,RAI14 | PPFIBP1 | WWTR1,RAI14,PPFIBP1,WWTR1
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,21,2,1,0.4059634804725647,S100A9 | S100A8,S100A9,S100A8,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,22,2,1,0.2624951601028442,CYTOR | MIR4435-2HG,CYTOR,MIR4435-2HG,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,23,2,1,0.2313246130943298,MYSM1 | GIGYF1,MYSM1,GIGYF1,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,24,2,1,0.212548553943634,PEAK1 | TNS1,PEAK1,TNS1,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,25,2,1,0.159408152103424,MTRNR2L8 | MTRNR2L12,MTRNR2L8,MTRNR2L12,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,26,2,1,0.1304864734411239,CXCL3 | CXCL2,CXCL3,CXCL2,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,27,2,1,0.1296515017747879,TAOK2 | TBCD,TAOK2,TBCD,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,28,2,1,0.1278499960899353,APOC1 | APOE,APOC1,APOE,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,29,2,1,0.1269256472587585,CCNL1 | IFRD1,CCNL1,IFRD1,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,30,2,1,0.1245855391025543,ZFYVE16 | MAN2A1,ZFYVE16,MAN2A1,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,31,2,1,0.1229949295520782,COL6A2 | COL6A1,COL6A2,COL6A1,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,32,2,1,0.1159382089972496,ZMYM2 | ZNF292,ZMYM2,ZNF292,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,33,2,1,0.1093799099326133,SKIL | CREBRF,SKIL,CREBRF,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,34,2,1,0.1078002750873565,SLC9A3R2 | CNKSR3,SLC9A3R2,CNKSR3,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,35,2,1,0.1074982658028602,GBP4 | TRIM22,GBP4,TRIM22,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,36,2,1,0.1073318049311637,SH3BP5 | PHACTR2,SH3BP5,PHACTR2,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,37,2,1,0.1067657321691513,CTDSPL2 | SETX,CTDSPL2,SETX,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,38,2,1,0.1047849059104919,SMC2 | PCNA,SMC2,PCNA,
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,1,107,390,0.15356860275451953,PDGFRB | MMP19 | ENPEP,PDGFRB,MMP19,ENPEP
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,2,106,529,0.16885631758233774,MYCT1 | PTPRB | ECSCR,MYCT1,PTPRB,ECSCR
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,3,93,492,0.18373956213273654,KRT7 | S100A14 | CLDN7,KRT7,S100A14,CLDN7
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,4,61,154,0.14906220597686706,BAG3 | CCNL1 | HEXIM1,BAG3,CCNL1,HEXIM1
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,5,58,137,0.15896699697214323,HELZ | DENND4A | ZRANB1,HELZ,DENND4A,ZRANB1
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,6,42,58,0.14211493435090986,NRP2 | MSRB3 | TSHZ2,NRP2,MSRB3,TSHZ2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,7,42,59,0.15016800354597928,TAGLN | MEG3 | FAT1,TAGLN,MEG3,FAT1
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,8,38,69,0.15649729718764624,LHFPL6 | IGFBP7 | TIMP3,LHFPL6,IGFBP7,TIMP3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,9,38,60,0.1375899039208889,DNAJA4 | NFIL3 | SIRT1,DNAJA4,NFIL3,SIRT1
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,10,36,52,0.134722845055736,TMEM263 | REV1 | SMC4,TMEM263,REV1,SMC4
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,11,24,64,0.15773549245204777,SOX17 | ACKR1 | PLVAP,SOX17,ACKR1,PLVAP
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,12,18,26,0.16238129081634375,ADAM17 | TRPM7 | OFD1,ADAM17,TRPM7,OFD1
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,13,14,16,0.15325373830273747,NEDD9 | ITGA6 | ADRB2,NEDD9,ITGA6,ADRB2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,14,7,7,0.156850839299815,ARHGAP29 | TINAGL1 | EFNA1,ARHGAP29,TINAGL1,EFNA1
