condition,source_conditions,community,n_nodes
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,62,2
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,63,2
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,64,2
Normal__plus__ER_tumor,Normal | ER_tumor,1,6
Normal__plus__ER_tumor,Normal | ER_tumor,2,6
Normal__plus__ER_tumor,Normal | ER_tumor,3,6
Normal__plus__ER_tumor,Normal | ER_tumor,4,3
Normal__plus__ER_tumor,Normal | ER_tumor,5,3
Normal__plus__ER_tumor,Normal | ER_tumor,6,3
Normal__plus__ER_tumor,Normal | ER_tumor,7,3
Normal__plus__ER_tumor,Normal | ER_tumor,8,2
Normal__plus__ER_tumor,Normal | ER_tumor,9,2
Normal__plus__ER_tumor,Normal | ER_tumor,10,2
Normal__plus__ER_tumor,Normal | ER_tumor,11,2
Normal__plus__ER_tumor,Normal | ER_tumor,12,2
Normal__plus__ER_tumor,Normal | ER_tumor,13,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,1,18
Normal__plus__HER2_tumor,Normal | HER2_tumor,2,17
Normal__plus__HER2_tumor,Normal | HER2_tumor,3,16
Normal__plus__HER2_tumor,Normal | HER2_tumor,4,15
Normal__plus__HER2_tumor,Normal | HER2_tumor,5,8
Normal__plus__HER2_tumor,Normal | HER2_tumor,6,8
Normal__plus__HER2_tumor,Normal | HER2_tumor,7,7
Normal__plus__HER2_tumor,Normal | HER2_tumor,8,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,9,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,10,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,11,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,12,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,13,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,14,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,15,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,16,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,17,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,18,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,19,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,21,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,22,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,23,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,24,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,25,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,26,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,27,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,28,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,29,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,30,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,31,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,32,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,33,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,34,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,35,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,36,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,37,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,38,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,1,107
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,2,106
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,3,93
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,4,61
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,5,58
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,6,42
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,7,42
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,8,38
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,9,38
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,10,36
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,11,24
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,12,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,13,14
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,14,7
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,15,5
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,16,5
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,17,5
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,18,5
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,19,4
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,20,4
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,21,4
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,22,4
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,23,4
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,24,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,25,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,26,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,27,3
