condition,source_conditions,gene_a,gene_b,weight
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,C1R,CRISPLD2,0.1058124303817749
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,NFKB1,PRDM2,0.1057906970381736
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,RBBP5,UBE2W,0.1055018529295921
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,CYBRD1,GSN,0.105209045112133
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,VOPP1,CFLAR,0.1049726456403732
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,KRT18,S100P,0.1047700494527816
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,FN1,LGALS1,0.1046066656708717
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,SFN,S100A14,0.1041422486305236
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,KRT18,AZGP1,0.1040221750736236
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,ADAMTS4,BGN,0.1038223952054977
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,SPARC,RBMS3,0.1036686450242996
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,PARP14,TAP1,0.1036557108163833
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,DMTF1,ESCO1,0.1035580411553382
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,ING5,ZNF431,0.1032087728381156
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,CLK4,POU2F1,0.1030775383114814
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,KRT17,MIA,0.1029887795448303
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,CDC42SE2,KIAA1551,0.1028486043214798
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,PARP14,PJA2,0.1025200635194778
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,ZFAND2A,ID2,0.1023124381899833
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,KRT8,SOX9,0.1022979468107223
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,POLK,MTR,0.1020926535129547
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,DMTF1,DDHD1,0.1019805818796157
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,ELF3,GABRP,0.1018473953008651
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,HERC1,NPHP3,0.1017658337950706
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,IGFBP6,RARRES2,0.101704716682434
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,CRISPLD2,LMCD1,0.1017035245895385
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,KRT8,KRT5,0.1014777645468711
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,PDZK1IP1,CLDN3,0.1012583002448082
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,CD9,EFNA1,0.1008676141500473
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,MSL2,SUPV3L1,0.1001850143074989
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT14,KRT5,0.6546869874000549
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT-CO1,MT-CO2,0.6475659608840942
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT17,SFN,0.6071375012397766
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT5,SFN,0.5694323778152466
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT14,KRT17,0.5664862394332886
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT5,KRT17,0.5650679469108582
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A8,S100A9,0.5596444010734558
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT-ATP6,MT-ND4,0.5139025449752808
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HSPA1A,HSPA1B,0.492626816034317
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,TACSTD2,0.4901562631130218
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,WFDC2,0.4802699685096741
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,FXYD3,0.4796402752399444
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA1,SAA2,0.4770508706569671
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT-CO2,MT-ND4,0.4730732142925262
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,KRT16,0.4639363884925842
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD24,KRT19,0.452255368232727
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT-CO1,MT-ND4,0.4509649276733398
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,SAA1,0.4308829307556152
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,S100A2,0.4235017001628876
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,TACSTD2,0.4227848947048187
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,KRT16,0.4216480553150177
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,FXYD3,0.4162592589855194
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,SAA1,0.4126051366329193
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,KRT8,0.41019406914711
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,SAA1,0.4055764973163605
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,KRT8,0.4012239277362823
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,WFDC2,0.3990116417407989
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT8,KRT7,0.3944250643253326
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,C1ORF56,CDC42SE1,0.3930833637714386
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,KRT23,0.3928517699241638
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,S100A14,0.3895695507526397
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,FXYD3,0.388459712266922
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT14,SFN,0.3882380723953247
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,SAA1,0.3859260380268097
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,CLDN4,0.3846001327037811
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD74,HLA-DRA,0.3811131119728088
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MYL9,TAGLN,0.3715736269950866
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HSP90AA1,HSPH1,0.3675442039966583
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT17,SAA1,0.3651430904865265
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,GTF2A1,TTC14,0.3633261024951935
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT16,KRT23,0.3499420881271362
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,KRT23,0.3472456634044647
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT5,S100A2,0.343228131532669
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,KRT7,0.3401257395744324
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,CLDN4,0.3390563428401947
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,ELF3,0.3357649147510528
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,KRT7,0.3355834484100342
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT17,S100A2,0.3339378535747528
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CLDN4,PDZK1IP1,0.3331721723079681
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HELZ,KIDINS220,0.3308475613594055
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,CLDN4,0.3289942741394043
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT23,CLDN4,0.3231391012668609
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,KRT16,0.3228198289871216
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,IGFBP7,LAMA4,0.3227710723876953
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT23,CLDN7,0.3225599229335785
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,KRT23,0.32011878490448
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT17,KRT16,0.3180624544620514
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,CLDN4,0.3155506551265716
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,KRT23,0.3115805685520172
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD24,KRT23,0.3107849359512329
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,KRT7,0.307239830493927
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA2,CHI3L2,0.3068966567516327
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HLA-DRA,HLA-DPA1,0.3023152649402618
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CYTOR,MIR4435-2HG,0.2986144423484802
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA1,ITGB6,0.2976790070533752
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT5,SAA1,0.2961033284664154
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA2,PDZK1IP1,0.295169472694397
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,KRT16,0.2923491895198822
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,DCN,LUM,0.2897491455078125
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT8,ITGB6,0.2877780795097351
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,WFDC2,0.2864910662174225
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,ITGB6,0.2823937833309173
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,C1R,C1S,0.2805027067661285
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,LAMA4,ADAMTS4,0.2772647142410278
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,CD24,0.2771499752998352
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT14,S100A2,0.2754802405834198
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,LUM,RARRES2,0.2750212252140045
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,CLDN7,0.2743032276630401
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD74,HLA-DRB1,0.2736358940601349
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,PODXL,TM4SF18,0.2732722163200378
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,ELF3,0.2731038331985473
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,CLDN4,0.2730699777603149
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,CD24,0.2725487053394317
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TAGLN,ACTA2,0.2717315554618835
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,IGFBP7,ADAMTS4,0.2714666724205017
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SOX9,TFAP2C,0.2706947326660156
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,PDZK1IP1,SLPI,0.2685917913913727
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT8,KRT18,0.2683518826961517
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,KRT8,0.2680565416812897
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CLDN3,SMIM22,0.2671192288398742
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FBXO32,FHL2,0.2624664902687073
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,FXYD3,0.2623102366924286
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,SAA1,0.2619060575962066
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ITGB6,SOX9,0.2618922293186188
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA2,ITGB6,0.2617186903953552
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT17,MIA,0.2604007124900818
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,SAA2,0.2599780559539795
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ATP1B1,SDC4,0.2583817541599273
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD24,KRT18,0.2576479315757751
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT1G,MT1X,0.2574754059314728
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HLA-DPA1,HLA-DPB1,0.2563473284244537
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,KRT8,0.2555969953536987
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT19,KRT23,0.2555696964263916
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT7,ITGB6,0.2554015219211578
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,CLDN7,0.2534600496292114
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT16,KRT8,0.2531944513320923
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT-ATP6,MT-ND3,0.2526376843452453
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,IGFBP7,TIMP3,0.2521799504756927
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HLA-DPA1,HLA-DRB1,0.2519803941249847
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT17,S100A14,0.2508871555328369
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT-ATP6,MT-ND1,0.2505643367767334
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD24,MAL2,0.24969482421875
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,PDZK1IP1,LCN2,0.2489253133535385
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT19,LCN2,0.2488245666027069
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT19,KRT18,0.2484630048274994
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA1,KRT8,0.2462795525789261
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FOS,JUN,0.2461940944194793
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,KRT7,0.2461711168289184
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,LAMA4,DPYSL3,0.2455589324235916
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,ITGB6,0.2438088506460189
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT23,MAL2,0.2427218556404113
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CALD1,TPM1,0.2412970662117004
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,BCAM,TINAGL1,0.2408534735441208
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CRYAB,ID4,0.239144891500473
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HSPA1A,HSPH1,0.2387758940458297
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,KRT8,0.2384004294872284
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CXCL2,CXCL3,0.23828786611557
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT5,MIA,0.2370436191558838
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,MAL2,0.2368448674678802
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,PDZK1IP1,MAL2,0.2367525994777679
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CLDN3,LCN2,0.236344426870346
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TM4SF18,STC1,0.2361640632152557
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,KRT8,0.234640434384346
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT-CO2,MT-ATP6,0.2331355661153793
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT14,SAA1,0.2321879714727401
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,GTF2A1,PRKD3,0.2321438789367675
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HLA-DRA,HLA-DQB1,0.2321392893791198
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,JUN,DNAJB1,0.2316261380910873
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD24,CLDN7,0.2311532199382782
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD24,CLDN4,0.23023721575737
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,KRT16,0.229584202170372
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,BRAF,NAA16,0.2295753806829452
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,DPP8,ZC3H4,0.2284234315156936
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,SAA1,0.2279168516397476
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CPNE8,NRP2,0.2265290319919586
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,PDZK1IP1,0.2263246923685073
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HLA-DPA1,HLA-DQA1,0.2257266193628311
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,SOX9,0.2251341640949249
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,KRT23,0.2250285595655441
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,PDZK1IP1,0.2238208502531051
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA1,S100A2,0.22361621260643
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,C5ORF46,SDC1,0.2232284992933273
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,KRT16,0.2230132669210434
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT8,KRT23,0.2227236628532409
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CCNT1,ZNF493,0.2223488837480545
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HECA,ZBTB1,0.2222411483526229
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD24,PDZK1IP1,0.2203398644924163
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,S100A14,SAA2,0.2202770113945007
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT19,SMIM22,0.2198817431926727
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,CLDN7,0.2196151316165924
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HSPA1A,DNAJB1,0.2193426340818405
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA1,KRT7,0.2185451537370681
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA1,KRT16,0.2181135863065719
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT17,TACSTD2,0.2180608212947845
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ITGB6,TFAP2C,0.2179943025112152
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT16,CLDN4,0.2177097797393798
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,DCN,SERPINF1,0.2168450206518173
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT5,KRT16,0.2167025953531265
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,SAA2,0.2152169793844223
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT16,S100A2,0.2144458889961242
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,NECAP1,TUT7,0.2142856121063232
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,PPP1R15B,SLC20A1,0.2141265720129013
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,KRT7,0.2130472362041473
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,PODXL,STC1,0.2129229754209518
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HLA-DRA,HLA-DRB1,0.2129079103469848
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CTSS,SERPINB9,0.2122374325990677
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FBXO32,CSRP1,0.2112829685211181
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,S100A2,0.211277961730957
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TPM1,PALLD,0.2107817977666854
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA1,KRT23,0.2099665701389312
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KIDINS220,FTX,0.2082565277814865
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD74,HLA-DPA1,0.2078233808279037
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FHL2,CSRP1,0.2064725756645202
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT19,CLDN7,0.2061230689287185
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SACM1L,ZBED5,0.2055380940437317
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CLDN4,CLDN7,0.2051370292901992
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT23,PDZK1IP1,0.2049351185560226
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,BGN,CCDC80,0.2048166692256927
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,AKAP10,NBPF19,0.2047567963600158
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HLA-DPA1,HLA-DQB1,0.2044117152690887
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TINAGL1,ARHGAP29,0.2035189718008041
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CREBRF,INO80D,0.2034734189510345
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,CLDN7,0.2027119398117065
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT17,FXYD3,0.2024721056222915
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SFN,FXYD3,0.2022626549005508
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT7,KRT23,0.2018307000398636
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,EGR1,EGR3,0.2013439983129501
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA2,CLDN7,0.2010636627674102
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FSTL1,LAMC1,0.2003071904182434
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SMIM22,LCN2,0.200175866484642
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,BRAF,ZC3H4,0.2001135200262069
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CD74,HLA-DQB1,0.1998716741800308
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ELF3,KRT18,0.1997994631528854
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT19,MAL2,0.1988941729068756
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,HLA-DRA,HLA-DQA1,0.1983995586633682
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MT-ND4,MT-ND1,0.1979624480009079
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,PDZK1IP1,CHI3L2,0.1976875364780426
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FXYD3,ITGB6,0.1966632604598999
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,AL121944.1,BEX2,0.1965264081954956
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,WFDC2,KRT18,0.1961745023727417
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,ITGB6,0.1958986073732376
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,FHL2,TPM1,0.1952275186777115
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,ATP1B1,MGST1,0.1947943270206451
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,RPRD2,USP42,0.1946470886468887
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,CHI3L2,SOX9,0.1944603770971298
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT7,KRT18,0.1937375217676162
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,SAA2,0.1932458728551864
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TACSTD2,DSP,0.1919687241315841
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT14,MIA,0.1918900161981582
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,MYL9,CALD1,0.1918462365865707
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,KRT16,KRT7,0.1917357891798019
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,TFAP2C,MIA,0.1914599239826202
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,USP42,ZNF263,0.1912191957235336
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,INO80D,TOR1AIP1,0.1910170465707779
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,SAA1,SOX9,0.1908163428306579
